,Provider Name,Complete Address,Contact No.
1509,"MARILAO MEDICAL AND DIAGNOSTIC CLINIC, INC - PASAY BRANCH","ANTONIO ARNAIZ COR. FB HARRISON ST.,  PASAY CITY METRO MANILA",0961-544-7303 / 0917-861-5223
1510,"MARILAO MEDICAL AND DIAGNOSTIC CLINIC, INC - BOCAUE BRANCH", BRGY. IGULOT BOCAUE BULACAN,0926-628-1655 / 0917-861-5223
1511,HI-PRECISION DIAGNOSTICS (SAN JOSE DEL MONTE BRANCH),"UNIT 1-6 GF, JC UMEREZ PRIME HOLDINGS CORP. BLDG. II (JUMPH CORP. BLDG. II), LOT 31 & 33 PECSONVILLE SUBD. QUIRINO HIWAY, TUNGKONG MANGGA  SAN JOSE DEL MONTE C BULACAN",09178471522/ 09209773474/ 09776000168
1512,"VICENTE-ISABEL MULTISPECIALTY CLINIC AND DIAGNOSTIC CENTER, INC - BATOBALANI BRANCH","PUROK 3 BRGY. BATOBALANI, PA PARACALE CAMARINES NORTE",(054) 875-5483
1513,SAN MATEO MEDICAL CENTER,GENERAL LUNA AVENUE BRGY. AMPID II SAN MATEO RIZAL,(02) 8539-1400 LOC 121-123
1514,THE CLINIC BY MBCI,"GROUND FLOOR CITYSTATE CENTER BLDG., 709 SHAW BLVD BRGY. ORANBO, PASIG CITY METRO MANILA",(02) 8640-3581
1515,OLANO MABALAY PAIN AND WELLNESS PHYSICAL THERAPY CLINIC,"188 SUSANO RD, SAN AGUSTIN  QUEZON CITY METRO MANILA",(02) 8879-1935
1516,MEDICUS DIAGNOSTIC CENTER - PARAÃ‘AQUE BRANCH,"UNIT F BPI BUILDING, BLOCK 24, LOT 9, 11 & 13, #177 DOÃ‘A SOLEDAD AVE., BETTER LIVING SUBD., BRGY. DON BOSCO PARAÃ‘AQUE METRO MANILA",(02) 7257-3347
1517,COMMCARE INC. (TAGUIG BRANCH),BLOCK 10 LOT 11 PHASE 2 PINAGSAMA VILLAGE BRGY. PINAGSAMA TAGUIG CITY METRO MANILA,(02) 8541-0067 / 8541-5599
1518,BALANGA MEDICAL CENTER (BMCC) CORPORATION,"SAMPAGUITA ST., ST. JOSEPH SUBDIVISION_x000D_
  BALANGA CITY BATAAN",(047) 237-1256; (0931) 783-3756 / (0920) 492-0949
1519,SAVELINK MEDICAL DIAGNOSTICS CORP.,26 UNIT B&C PACITA AVENUE PACITA COMPLEX 1 SAN PEDRO LAGUNA,(02) 7091-4767 / 8713-8096
1520,IDOC AMBULATORY EYE CARE CLINIC,"20/20 BLDG., 240 SORIANO HIGHWAY DAANG AMAYA III TANZA CAVITE",(046) 516-1258
1521,"RIVER VALLEY EYE CENTER AND SPECIALTY CLINICS, INC (PASIG BRANCH)","UNIT 701, 7TH FLR., 144 FORTUNE, BLDG. PASIG BLVD. BAGONG ILOG  PASIG CITY METRO MANILA",(02) 8584-6411 / 0917-1641462
1522,"RIVER VALLEY EYE CENTER AND SPECIALTY CLINICS, INC (MARIKINA BRANCH)","4TH FLR MARIKINA CITY HEALTH OFFICE, SHOE AVENUE,  MARIKINA CITY METRO MANILA",(02) 8527-2892
1523,ROMEL CRUZ HOSPITAL,"02 BAOG, MATIMBO,  MALOLOS CITY BULACAN",(044) 791-3025
1524,CAREWISE DIAGNOSTIC LABORATORY,"G/F JM MENDOZA BLDG. MAC ARTHUR HIGHWAY, LOLOMBOY,  BOCAUE BULACAN",09175786270 / 09228489523
1525,MONTE ZION DIAGNOSTIC AND MEDICAL CENTER CORP.,"G/F ICC-MTC BUILDING, #699 TANDANG SORA AVE.,  QUEZON CITY METRO MANILA",(02) 7624-5447
1526,MONTE ZION DIAGNOSTIC AND MEDICAL CENTER CORP. (SUBIC BRANCH),"UNIT 1-A LOT 4, GREENWOOD PARK, RIZAL HIGHWAY CBD AREA,  SUBIC BAY FREEPORT Z ZAMBALES",(047) 306-9029
1527,KERALTY GATEWAY,"LEVEL 2 GATEWAY TOWER, ARANETA QUEZON CITY METRO MANILA",(02) 8241-4004
1528,MEDNET LABORATORY AND DIAGNOSTIC CENTER,"164 M.D. RODRIGUEZ BLDG., CAPITOL DRIVE, SAN JOSE  BALANGA CITY BATAAN",(047) 612-1619
1529,MEDITEK MEDICAL CLINIC AND LABORATORY,"DVB BLDG., PANDAN AVENUE,  BRGY. POBLACION MAPANDAN PANGASINAN",09324652049 / (075)5231540
1530,ST. CROSS DIAGNOSTICS AND POLYCLINIC,227 F. ESTRELLA ST. STO. CRISTO  MALOLOS CITY BULACAN,0905-310-9450
1531,"KERALTY PRIME CEBU, INC. (MACTAN BRANCH)","UNITS 1 & 2, AT & SONS BLDG. SITIO IBA, BASAK LAPU-LAPU CITY (OPON) CEBU",(032) 505-5598
1532,"KERALTY PRIME CEBU, INC. (CONSOLACION BRANCH)","CANSAGA, NATIONAL HIGHWAY  CONSOLACION CEBU",(032) 505-5599
1533,HI-PRECISION DIAGNOSTICS (MALABON BRANCH),"1/F L12 A FISHERMALL MALABON, L2-10 BLK8 PH3 E-2  MALABON CITY METRO MANILA",863-9999 LOCAL 2125/236/806.
1534,PKWC HEALTHCARE SERVICES (RIZAL),"BLOCK 20 LOT 73, LUARCA ST., VISTA VERDE EXECUTIVE VILLAGE, SAN ISIDRO,  CAINTA RIZAL",(02) 7089-0704
1536,MARY MEDIATRIX MEDICAL CENTER OUT-PATIENT SATELLITE SERVICES,268 SANTIAGO STREET POBLACION IBAAN BATANGAS,(043) 773-6800 LOC 5132
1537,MEDFIX CARE MEDICAL HEALTH SERVICES,"G/F VBM BLDG., 182 A. BONIFACIO AVENUE, BRGY. TAÃ‘ONG MARIKINA CITY METRO MANILA",(02) 8557-2263/ 09263118939
1539,"TRULAB MEDICAL AND DIAGNOSTIC CENTER, INC.","CEDAR PEAK, GEN. LUNA COR. MABINI ST., KABAYANIHAN  BAGUIO CITY BENGUET",(074) 422-9184 / 09274867119
1540,METRODOCS MEDICAL CLINIC AND LABORATORY,"PUROK 5, GENERAL LUNA, SIARGAO ISLAND  GEN. LUNA SURIGAO DEL NORTE",(036) 288-6357 / 288-4258 / 288-2291
1541,"FIRST LINE HEALTHCARE DIAGNOSTICS CENTER, INC.","KONTIKI BLDG. TL PLAZA, MCARTHUR HIGHWAY, BARANGAY PULUNGBULU ANGELES CITY PAMPANGA",0967-347-5007 / 0943-441-9959
1542,KSC FAMILY CLINIC,"LEVEL 2 JEEPNEY MARKET, LOT 633-C MCARTHUR HIGHWAY COR. A. PABLO ST.,  VALENZUELA CITY METRO MANILA",(02) 7980-2057
1543,MEDICUS DIAGNOSTIC CENTER - SAN RAFAEL BULACAN,"UNIT 6 THE CASOBEY BLDG. GALAS MAASIM,  SAN RAFAEL BULACAN",(044) 697-4287
1546,ST. GEORGE CLINICAL LABORATORY SERVICES (QUEZON CITY BRANCH),"132 KALAYAAN AVENUE, CENTRAL,   QUEZON CITY METRO MANILA",(02)8426-3490
1548,ENHANCED MOBILITY PHYSICAL THERAPY CLINIC,"UNIT 306 JOCFER BLDG.,   QUEZON CITY METRO MANILA",(02) 8886-3859 / 0999-991-3489
1549,"CVMC CLINICS AND SURGICENTER, INC.",3F #3434 RAMON MAGSAYSAY BLVD.  MANILA METRO MANILA,(02) 5310-6822 / 0906-590-7592
1550,"PREMIERE DIAGNOSTICS OF BAGUIO, INC.","LOWER LEVEL 1, OLIVE TOWN CENTER AND HOTEL LOWER,  GENERAL LUNA ROAD BAGUIO CITY BENGUET",(074) 620-1823
1551,"UNITED DIAGNOSTIC LABORATORY, INC",1440 G/F UDL BLDG. TAFT AVENUE  MANILA METRO MANILA,(02) 8523-4476 / 8523-1687
1552,TCLV HEALTHCARE MEDICAL AND DIAGNOSTIC LABORATORY,"UNIT B & C 88 LILAC BLDG.,  MARIKINA CITY METRO MANILA",(02) 8514-2052
1553,I-SCAN DIAGNOSTIC CENTER INC. (MARIKINA BRANCH),"ISCAN BLDG.,, 6 JP LAUREL SR. COR. CHESNUT ST., 1801  MARIKINA CITY METRO MANILA",(02) 8241-8888
1554,"GAMMACARE MEDICAL SERVICES, INC.","635 BINAYUYO COR. MALANTING STS., AMPARO SUBDIVISION,  BRGY. 179 CALOOCAN CITY METRO MANILA",(02) 8961-3664 LOC 106
1555,LAB THREE LABORATORY AND DIAGNOSTIC MEDICAL CLINIC (PASIG),MARCOS HIGHWAY CORNER F. MARIANO ST. BRGY. DELA PAZ PASIG CITY METRO MANILA,(02) 7794-8213
1556,LAB THREE LABORATORY AND DIAGNOSTIC MEDICAL CLINIC (MARIKINA),88 E. MANALO AVENUE CORNER EXEQUIEL ST.  BRGY. STO. NIÃ‘O MARIKINA CITY METRO MANILA,0998-379-1844
1557,ULINK MEDICAL AND DIAGNOSTIC CENTER (CALAMBA BRANCH),JULITA BUILDING NATIONAL HIGHWAY PUROK 4 CALAMBA CITY LAGUNA,(049) 536-9686
1559,"THE PREMIER DIALYSIS CENTER, INC.",LOT 2 AMVEL BUSINESS PARK DR A SANTOS AVE BRGY. SAN DIONISIO PARAÃ‘AQUE METRO MANILA,(02) 8865-2200 LOC 417
1560,CARDIA OLYMPIA MEDICAL AND TRADING CORP.,G/F SPARTA 126 PIONEER ST. BRGY. HIGHWAY HILLS MANDALUYONG CITY METRO MANILA,(02)7975-0571
1561,KINETIK REGEN PHYSIOTHERAPY SERVICES,#7B RAINBOW STREET  MARIKINA CITY METRO MANILA,(02) 7003-1377
1562,HI-PRECISION DIAGNOSTICS (RETIRO ANNEX),"722 N.S. AMORANTO ST.,  BRGY. STO. DOMINGO, QUEZON CITY METRO MANILA",0917-708-9051
1563,SAN ANTONIO LIFE CARE HOSPITAL,"NATIONAL HIGHWAY BRGY. SAN ANTONIO, S SAN PASCUAL BATANGAS",(043) 726-1729
1564,O. CASTILLO DIAGNOSTIC AND MEDICAL CLINIC,"365 P. DELA MERCED ST., POBLACION, NORZAGARAY  GOVERNOR-GENERAL FRA BULACAN",(044) 324-0980
1565,MT. SINAI CARDIAC LABORATORIES BENGUET INC,"2ND FLR., PNB BUILDING CORNER MABINI ST.,  UPPER SESSION ROAD BAGUIO CITY BENGUET",(074) 424-6965
1566,HI-CARE DIAGNOSTIC CENTER,"UNIT 207, BLOCK1 L3, MAGUYAM ROAD, BRGY. MAGUYAM SILANG CAVITE",(046) 402-0726
1567,"ALLIED CARE EXPERTS (ACE) MALOLOS DOCTORS, INC.","CAPITOL VIEW PARK SUBD.,  BULIHAN CITY OF MALO MALOLOS CITY BULACAN",(0945) 367-0200; (0939) 902-7372; (044) 816 7698
1568,MOVE PHYSIOREHAB CENTER PHYSICAL THERAPY CLINIC,"0614, 2ND STREET, CASMOR PH 2, BRGY. MABIGA MABALACAT PAMPANGA",(0968)879-5651
1569,HEALTHPASS DIAGNOSTIC CENTER,"CARRIEDO ST., BRGY. MUZON, DISTRIC SAN JOSE DEL MONTE C BULACAN",(0956) 023-1713
1570,SANTE HEALTH & FITNESS INC,VERMOSA SORTS HUB BRGY. PASONG BUAYA I IMUS CAVITE,(0920) 920-9747 / (0917) 173-3811
1571,MEDITEK MEDICAL CLINIC AND LABORATORY - SAN JACINTO,CASA ROMULA BRGY. GUIBEL SAN JACINTO PANGASINAN,(0968) 775-6643
1572,ST BERNARD INFIRMARY & MULTI-SPECIALTY CLINIC INC,QUARRY ROAD BRGY PALANGOY BINANGONAN RIZAL,(02) 8470-1521
1573,DR. GLORIA D. LACSON GENERAL HOSPITAL,180 CASTELLANO  SAN LEONARDO NUEVA ECIJA,(044)486-2432
1574,FITNESS PHYSICAL THERAPY HOME CARE,"UNIT I, 135 MAYON BUILDING, 135 MAYON STREET  QUEZON CITY METRO MANILA",(02)7002-6746
1575,MANSALAPUZ PHYSICAL THERAPY CLINIC,"UNIT 305, ONE AGM PLAZA 1830, RIZAL AVENUE BRGY. 336 ZONE 034, MANILA METRO MANILA",(02) 8566-1152
1576,CEBU DIGITAL HEARING SOLUTIONS INC. - NORTH,"G/F CPG ARCADE BLDG, NORTH ROAD PITOGO CONSOLACION CONSOLACION CEBU",(032) 340-5068
1577,META FACTOR PERSONAL WELLNESS ENHANCEMENT SERVICES,"PACO ARENA, GROUND FLR., APACIBLE ST. COR. LEROY ST.,  MANILA METRO MANILA",(02)8693-4610
1579,EMMANUEL HOSPITAL,"CAGAYAN VALLEY ROAD, OLD STA. RITA, SAN MIGUEL, BULACAN  SAN MIGUEL BULACAN",(044) 764-1857 LOC 105
1580,PROACTIV PHYSICAL THERAPY CLINIC,"PHASE 10 BLOCK 50 LOT 19, WELLINGTON PLACE, PASONG CAMACHILE II  GENERAL TRIAS CAVITE",(0927) 704-8143
1581,GLOBAL CARE MEDICAL CENTER OF TALISAY INC,MABINI HIGHWAY BRGY AYA TALISAY CITY BATANGAS,(043) 778-4888
1582,"MARILAO SAINT MICHAEL FAMILY HOSPITAL, INC.",SAMPAGUITA C. SANTIAGO STREET BRGY POBLACION II MARILAO BULACAN,(044) 812-5500 / 769-9012
1583,SANDBOX CLINIC,"UNIT 3A, 3RD FLOOR ACTIVE FUN BLDG, 28TH ST CORNER 9TH AVE. BONIFACIO GLOBAL CIT TAGUIG CITY METRO MANILA",(02) 5310-3805
1584,"ICARE WELLNESS CLINIC AND DIAGNOSTIC CENTER, INC.",3F ROSAS HANDICRAFTS PHILS. BRGY. BALIBAGO ANGELES CITY PAMPANGA,(0936) 140-2582 / (0919) 466-8179
1585,"NEW WORLD DIAGNOSTICS, INC. (D.TUAZON)","205 D. TUAZON ST., BRGY. MAHARLIKA QUEZON CITY METRO MANILA",(02) 8790-8888 LOC 880/238
1586,"NEW WORLD DIAGNOSTICS, INC. (BINONDO)","MEZZANINE FLR., STRATA GOLD CONDOMINIUM, ONGPIN ST.,  MANILA METRO MANILA",(02) 8790-8888 LOC 850
1587,"NEW WORLD DIAGNOSTICS, INC. (ORTIGAS PREMIUM)","33 VALUCARE BLDG., MERALCO AVE.,  BRGY. SAN ANTONIO, PASIG CITY METRO MANILA",(02) 8790-8888 LOC 820/821
1588,"NEW WORLD DIAGNOSTICS, INC. (BAESA)","UNIT 5 OLYMPIA COMMERCIAL PLAZA, 131 QUIRINO HIGHWAY  QUEZON CITY METRO MANILA",(02) 8790-8888 LOC 875/876
1590,"NEW WORLD DIAGNOSTICS, INC. (MEDISCAN DIAGNOSTIC CENTER)","1334 WEST EAST CENTER, TAFT AVE,  MANILA METRO MANILA",(02) 8526-6079 / 8526-6080 / 8536-2054 / 8404-2775
1591,"NEW WORLD DIAGNOSTICS, INC. (MIRASOL MANILA)","MIRASOL BLDG., TAFT AVE. CORNER APACIBLE ST.  MANILA METRO MANILA",(02) 8790-8888 LOC 860/861
1592,SAINTS BRIGIT AND ROCH MEDICAL LAB AND BIRTHING CENTER INC.,UNIT 2-5B ONE STA ROSA PRIME BRGY. DILA SANTA ROSA CITY LAGUNA,(049) 503-1743
1593,"NEW WORLD DIAGNOSTICS, INC. (TAGAYTAY)",UNIT 2 PETROCHEMICAL BLDG. BRGY. MAHARLIKA TAGAYTAY CITY CAVITE,(02) 8790-8888 LOC 620
1594,"NEW WORLD DIAGNOSTICS, INC. (PARANAQUE)","35 PRESIDENT AVE., BF HOMES  PARAÃ‘AQUE METRO MANILA",(02) 8790-8888 LOC 610
1595,"NEW WORLD DIAGNOSTICS, INC. (LAS PINAS)","IMPERIAL APPLIANCE PLAZA, ALABANG ZAPOTE ROAD BRGY TALON I LAS PIÃ‘AS CITY METRO MANILA",(02) 8790-8888 LOC 890-891
1596,"NEW WORLD DIAGNOSTICS, INC. (MAKATI)","104 CAMPOS RUEDA BLDG., 101 URBAN AVE. BRGY SAN LORENZO MAKATI CITY METRO MANILA",(02) 8790-8888 LOC 870-871
1597,"NEW WORLD DIAGNOSTICS, INC. (DAVAO)","584 E. QUIRINO AVENUE,  DAVAO CITY DAVAO DEL SUR",(082) 221-6916 / (082) 221-6359
1598,"NEW WORLD DIAGNOSTICS, INC. (DAGUPAN)","#45 BURGOS ST., BRGY.. POBLACION DAGUPAN CITY PANGASINAN",(02) 8790-8888 LOC 260/261
1599,"NEW WORLD DIAGNOSTICS, INC. (BALIWAG)","5 B.S.AQUINO AVE., BAGONG NAYON,  BALIUAG BULACAN",(02) 8790-8888 LOC 260
1600,"NEW WORLD DIAGNOSTICS, INC. (MALABON)","UNIT 101-102 MEZZANINE FLR., PANCO SQUARE BLDG., 67 MCARTHUR HIGHWAY  BRGY. POTRERO, MALABON CITY METRO MANILA",(02) 8790-8888 LOC 866
1601,"NEW WORLD DIAGNOSTICS, INC. (NOVALICHES)","G/F HIPOLITO BLDG., 188 GEN. LUIS ST.,  QUEZON CITY METRO MANILA",(02) 8790-8888 LOC 855/856
1602,"NEW WORLD DIAGNOSTICS, INC. (PCS NORTH EDSA)","G/F PHILIPPINE COLLEGE OF SURGEONS BLDG., SM CITY NORTH EDSA 992 EDSA QUEZON CITY METRO MANILA",(02) 8790-8888 LOC 845/848
1603,MHAM DIAGNOSTICS AND MEDICAL INC.,"GROUND FLOOR, MHSM BLDG., R. DUTERTE ST. BANAWA-GUADALUPE CEBU CITY CEBU",(032) 263-0045
1604,"HEALBERG LIFESTYLE MEDICAL CENTER AND CLINICS, INC.","ROBINSONS CYBERGATE, ARANETA AVE., BRGY. SINGCANG-AIRPO BACOLOD CITY NEGROS OCCIDENTAL",(034) 703-6359
1605,REHABCARE THERAPY CENTER,BUBUKAL HIGHWAY BRGY BUBUKAL SANTA CRUZ LAGUNA,(049) 554-3473
1606,STDHMC MEDICAL AND DIAGNOSTIC CENTER,LOT 1 BLK 2 E SAN BARTOLOME ROAD SAN MIGUEL SANTO TOMAS BATANGAS,(043) 723-3362
1607,BHC PRIME LABORATORY CORP.,"BLOCK 6-C 3B, BLAS OPLE DIVERSION ROAD BRGY. BULIHAN MALOLOS CITY BULACAN",(044) 792-7533
1608,MY LAB CLINICAL LABORATORY (RIZAL),46 JP RIZAL STREET BRGY LAYUNAN BINANGONAN RIZAL,(02) 8788-9763
1609,MY LAB CLINICAL LABORATORY (SAN JUAN),GEN LUNA ST  SAN JUAN BATANGAS,(0999) 226-2399
1610,ICARE SPECIALTY HEALTH CLINICS,3/F FIBERTEX BLDG ORTIGAS EXT COR DON MARIANO SUBD BRGY SAN JUAN CAINTA RIZAL,(02) 7793-0100
1611,"LOVING MOTHER GENERAL HOSPITAL AND DIAGNOSTIC CENTER, INC.","BLOCK 6, F. TAÃ‘EDO STREET BRGY. SAN NICOLAS TARLAC TARLAC",(045) 982-5644
1612,AGILE PHYSIORECOVERY PHYSICAL THERAPY CLINIC - TAFT BRANCH,"ROOM 408 DONA FELISA SYJUCO BUILDING, 1872 REMEDIOS ST CORNER TAFT AVE BRGY 693. ZONE 075 MANILA METRO MANILA",(02) 8251-0822
1614,5PS MEDICAL AND DIAGNOSTIC CLINIC,"ST JOSEPT ST., VILLA DE LIPA SUBD.  MARAWOY LIPA CITY BATANGAS",(02) 8757-5740
1615,MOUNT EVE MULTISPECIALTY CLINIC AND DIAGNOSTIC CENTER,"UNIT 1,CLUSTER 3 RIPPLES BLDG., TALON CITY PLAZA, SOUTHERN BYPASS ROAD BRGY. SAN VICENTE TARLAC TARLAC",(045) 628-0544
1616,"RIVER VALLEY EYE CENTER AND SPECIALTY CLINICS, INC. (MANCORA)",3RD FLR. MANCORA BLDG. NO. 6 GIL FERNANDO AVE. STO NIÃ‘O  MARIKINA CITY METRO MANILA,(02) 8776-7488
1617,BICOLCARE MEDICAL CLINIC AND LABORATORY,CBD II NINOY AND CORY AVE. TRIANGULO  NAGA CITY CAMARINES SUR,(054) 206-1387
1618,"ZONE MEDICAL AND INTERVENTION HOSPITAL, INC.",DIVERSION ROAD BINATAGAN LIGAO CITY ALBAY,(0967) 188-9583
1621,NCFC MEDICAL AND DIAGNOSTIC CLINIC,LEVEL 2 SAMPALUCAN ROAD BRGY SAN ROQUE SANTO TOMAS BATANGAS,(043) 403-3321
1622,CURIS LABORATORY AND DIAGNOSTIC CENTER,HINCH BLDG APABCIBLE COR P CALAPAN ST. BRGY 10 BATANGAS CITY BATANGAS,(043) 402-4386
1624,MBD MEDICAL AND DIAGNOSTIC CLINIC INC.,335 STO. ROSARIO ST. BRGY PLAINVIEW MANDALUYONG CITY METRO MANILA,(02) 7089-6267
1625,ACCUTEQS DIAGNOSTICS CORP.,257 A. BONIFACIO AVE. COR PAG-ASA BRGY. SAN JOSE QUEZON CITY METRO MANILA,(02) 8364-1712
1626,PHYSIOCARE MEDICAL CLINIC - PASIG,15 A ORTIGAS AVENUE EXTENTION CORNER MONACO ST. BRGY. ROSARIO PASIG CITY METRO MANILA,(02) 8236-0463
1627,PHYSIOCARE MEDICAL CLINIC - NUEVA ECIJA,"UNIT B & C LUCIA BLDG LOT 2 BLK 15, ROSEVILLE HEIGHTS SUBD. BRGY STO. TOMAS SAN JOSE CITY NUEVA ECIJA",(0917) 157-6339
1628,THE HEART SPECIALISTS CLINIC AND DIAGNOSTIC CENTER,"664 T-SQUARE BLDG SAN JOAQUIN ST. COR STO. ROSARIO, BRGY. STO. DOMINGO ANGELES CITY PAMPANGA",(045) 901-1251
1629,JABEZ PHYSICAL THERAPY CLINIC,"BLOCK 403 LOT 4, VILLAROCA ROAD, PRENZA 1,  MARILAO BULACAN",(0956) 520-4397 / (0961) 899-5899
1630,HI-PRECISION DIAGNOSTICS (BALAGTAS BRANCH),G/F LS-135 BALAGTAS TOWN CENTER MCARTHUR HIGHWAY BOROL 1ST 3016  BALAGTAS (BIGAA) BULACAN,(044) 762-0866
1631,HI-PRECISION DIAGNOSTICS PLUS (ROBINSONâ€™S MAGNOLIA BRANCH),"UNIT 01136, UPPER GROUND, ROBINSONS MAGNOLIA, AURORA BLVD. NEW MANILA  QUEZON CITY METRO MANILA",(0917) 633-7440; (0939) 915-5120; (02) 8741-7777
1632,HI-PRECISION DIAGNOSTICS PLUS (URDANETA BRANCH),"UNIT 320-323, 3/F SM CITY, URDANETA CENTRAL, MCARTHUR HIGHWAY BRGY. NANCAYASAN URDANETA PANGASINAN",(075) 529-6576; (0917) 114-6005 / (0998) 956-8039
1634,HEALTHFIRST CLINICS (WILLIAMS BRANCH),"WILLIAMS BLDG., WILLIAMS ST., CORNER MAYFLOWER ST., GREENFIELD DISTRICT  MANDALUYONG CITY METRO MANILA",0917 816 0369
1635,"WELLCARE CLINICS & LAB., INC. (UNITOP)",UNITOP MALL RETAIL SHOP 7B GOV DRIVE CORNER PALIPARAN SILANG RD. PALIPARAN 1  DASMARIÃ‘AS CAVITE,(046) 416-7068
1636,HEALTHFIRST CLINICS (BGC BRANCH),"RETAIL UNIT #10 G/F AVIDA TOWERS, 34TH ST. 11TH AVE., BONIFACIO GLOBAL CITY  TAGUIG CITY METRO MANILA",(0917) 844-5706
1637,HEALTHFIRST CLINICS (ALABANG BRANCH),G/F SOUTH SUPERMARKET FILINVEST AVENUE FILINVEST CORPORATE CITY  MUNTINLUPA METRO MANILA,(02) 8821-1423 / (0917) 842-8214
1638,METROBAGUIO LABORATORIES INC.,"146 KISAD ROAD, BAGUIO CITY  BAGUIO CITY BENGUET",(074) 443-8582 / 447-9800
1639,PINPOINT MEDICAL AND DIAGNOSTIC CENTER,UNIT 10 LEXAR ANGONO M.L. QUEZON AVE. BRGY SAN ISIDRO ANGONO RIZAL,(02) 7004-6072
1640,SUREHEALTH MULTI-SPECIALTY & DIAGNOSTIC CLINIC,UNIT A-D G/F FRUITAS BLDG 3961 RAMON MAGSAYSAY BLVD ZONE 057 BRGY 586 STA MESA MANILA METRO MANILA,(02) 8725-4969
1641,"RGO LABORATORY AND INDUSTRIAL DIAGNOSTIC CENTER, INC. (PARANAQUE)","UNIT 2E & 2F, AIRPORT GLOBAL PLAZA NAIA ROAD COR ROXAS BLVD BRGY TAMBO PARAÃ‘AQUE METRO MANILA",(02) 8830-4656
1642,PANDI PHYSICAL THERAPY CENTER,"L28 TYSON BUILDING, KABESANG PINONG STREET POBLACION PANDI BULACAN",(044) 309-5159
1643,LABSERVE DIAGNOSTIC CENTER,GRD FLR SCBC BLDG MANILA EAST RD (FORMER RIZAL AVE.) COR ROYAL SUBD SAN JUAN TAYTAY RIZAL,(02) 8356-2415
1644,SHALOM DYNAMIC HEALTH CARE CO (MAPTAN),MAPTAN BLDG NATIONAL ROAD PALLOCAN KANLURAN  BATANGAS CITY BATANGAS,(0917) 156-3228
1645,HEALTHWAY MEDICAL CLINIC (ESTANCIA BRANCH),"4L-32D, ESTANCIA MALL CAPITOL COMMONS MERALCO AVE. BRGY. ORANBO PASIG CITY METRO MANILA",(02) 7720-6106
1646,HEALTHWAY MEDICAL CLINIC (CLOVERLEAF BRANCH),"4TH LEVEL, AYALA MALLS CLOVERLEAF, A. BONIFACIO BRGY BALINGASA QUEZON CITY METRO MANILA",(02) 7720-6105
1647,HEALTHWAY MEDICAL CLINIC (THE DISTRICT IMUS),"2ND LEVEL, THE DISTRICT, DAANG HARI COR EMILIO AGUINALDO HI-WAY BRGY ANABU IMUS CAVITE",(02) 7720-6108
1648,XCEL LABORATORY AND DIAGNOSTIC CENTER,"02 ANW BLDG. HILARIO ST. LIGTASAN,  TARLAC TARLAC",(045) 925-6058
1649,CLEANMED HEALTH CARE CORP.,"DISTRICT 1, 38 CLEANMED BLDG., N.S. AMORANTO SR. STREET BRGY. SALVACION QUEZON CITY METRO MANILA",(02) 8695-3388 / 8695-9988
1650,THE MEDICAL CITY CLINIC (ESTANCIA BRANCH),"UNIT 4L-28 EAST WING ESTANCIA MALL, MERALCO AVE. CAPITOL COMMONS BRGY. ORANBO PASIG CITY METRO MANILA",(02) 8396-9898 LOC 6353
1651,THE MEDICAL CITY CLINIC (WALTERMART - MALOLOS BRANCH),"2ND FLOOR WALTERMART MALOLOS, KM 45, MCARTHUR HIGHWAY BRGY. LONGOS MALOLOS CITY BULACAN",(02) 8396-9898 LOC 6051-6053 & 6056
1652,SHALOM DYNAMIC HEALTH CARE CO (BAUAN),J.P. RIZAL ST BRGY 1 POBLACION BAUAN BATANGAS,(043) 341-9957 LOC 300
1653,THE MEDICAL CITY CLINIC (WALTERMART - STA MARIA BRANCH),"2ND FLOOR, PROVINCIAL ROAD, CORNER BYPASS ROAD STA. CLARA SANTA MARIA BULACAN",(0929) 668-5979 / (0927) 011-1455
1654,ACTIVEONE HEALTH INC. (HEALTHFIRST CLINICS CEBU),"LEVEL 1, I2 BLDG., JOSE MARIA DEL MAR ST., IT PARK APAS LAHUG CEBU CITY CEBU",(032) 236-5896
1655,ONPOINT 8 LABORATORIES INC.,"DOOR 2 & 3, J LIM BLDG., KM 6, DIVERSION ROAD BUHANGIN POBLACION DAVAO CITY DAVAO DEL SUR",(082) 241-0141
1657,JARO MEDICAL AND DIAGNOSTIC CENTER CORP.,"1ST FLOOR, GRJ JARO BLDG KM 27 SALITRAN 1, AGUINALDO HIGHWAY  DASMARIÃ‘AS CAVITE",(046) 890-4872
1658,LAGUNA TECHNOMED MEDICAL CLINIC AND LABORATORY,"UNIT 10 & 15 GATE 3 TECHNOPARK SQUARE, LAGUNA TECHNOPARK  BINAN LAGUNA",(049) 502-5036
1659,DAVAO SPECIALISTS CLINIC AND DIAGNOSTIC LABORATORY(PANABO BRANCH),"GF SOMBILON-SABUGA BLDG., PUROK SIBUYAS, GREDU  PANABO CITY DAVAO DEL NORTE",(084) 308-4993
1660,MAYO DIAGNOSTIC CENTER,"GF, JCG BLDG., BADELES ST., CORNER LLUCH ST., POBLACION  ILIGAN CITY LANAO DEL NORTE",(063) 224-1954
1661,CAMARIN DOCTORS HOSPITAL,CAMARIN ROAD. BRGY. 172 CAMARIN CALOOCAN CITY METRO MANILA,(02)8260-5952; (0967)219-7474
